product_description,product_image,product_price,product_title
" Smart Bluetooth headset with built-in Mic  
 Multiple playback options - Bluetooth, FM Radio, MicroSD and 3.5 mm AUX  
 FM Radio built in with clear reception of your favourite channels  
 SD card function allows you to carry 1000’s of songs on the go  
 Best in class Sound Quality  
 Soft Leatherette Ear Cushions for extended comfort  
 Hardware Platform : All Bluetooth device  
 Batteries : Built-in Rechargeable Battery  ",https://m.media-amazon.com/images/I/411cdAwJIRL._SY300_SX300_.jpg,"₹1,499",iBall Decibel Bluetooth 5.0 Wireless Over Ear Foldable Headphone with MicroSD/AUX/FM I Smart Bluetooth headset I MicroSD and 3.5 mm AUX I Built-in Rechargeable Battery I - Black Edition
" pTron Tangent Duo Bluetooth headphones neckband delivers up to 24 hours of Music playback time on a single charge. Thanks to its fast charging, a 10min charge can provide up to 3 hours of playtime.  
 Large 13mm dynamic drivers ensure an immersive stereo sound experience with deep bass and an in-line HD microphone for a crystal-clear calling experience.  
 Attractive ergonomics with a lightweight sturdy built (just 26gms); Bluetooth headphone with mic comes with Bluetooth 5.2 for seamless 10mtrs connectivity, quick pairing, and broad compatibility.  
 Comfortable in-ear buds for snug-fit & passive noise cancellation; Magnetic locking earbuds; Instant access to the voice assistant; IPX4 water & sweat-resistant for indoor/outdoor use; Type-C Charging  
 Easy In-line music & call controls; Large capacity Built-in rechargeable 200mAh battery; 6 months manufacturer warranty from the date of purchase on manufacturing defects only  
 Caution: Using incompatible USB cable or high voltage chargers can damage the product & void the product warranty. We strongly recommend using DC5V-1A chargers & the USB cable included in the package.  ",https://m.media-amazon.com/images/I/31PEQ0CkFTL._SX300_SY300_QL70_FMwebp_.jpg,₹499,"pTron Tangent Duo Bluetooth 5.2 Wireless in Ear Earphones with Mic, 24Hrs Playback, 13mm Driver, Deep Bass, Fast Charging Type-C Neckband, Dual Pairing, Voice Assistant & IPX4 Water Resistant (Black)"
" Latest BT version v5.3 – Fastrack FPods bring you the latest BT version to enjoy seamless and uninterrupted connectivity  
 Extra 40 Hours Playtime – Charge once and enjoy a mega playtime of 40 hours on your Fpods  
 13 mm Dynamic Bass Drivers – Feel the extra bass, crisp clear sound and deep dive into the world of your music  
 ""Quad Mic ENC – Enhanced quad mic ENC for you to enjoy your audio experience to the fullest and superior call quality ""  
 Ultra-Low Latency – Hear the footsteps of your opponents and revolutionize your gaming experience with 50ms ultra low latency  
 3C NitroFast Charge – Charge your buds for 10 min and power your buds for 150 min InstaSync Hall Sensor – Open, Connect, Play with the FPod’s instant pair  
 Voice Assistant – Tap on your buds to activate voice assistant and be a step ahead in the world  ",https://m.media-amazon.com/images/I/41hOU8ivgjL._SY300_SX300_.jpg,₹899,Fastrack Fpods(New Launch) FX100 Bluetooth TWS In-Ear Earbuds with 40 Hrs Playtime|BT V5.3|13mm Extra Deep Bass Drivers|Quad Mic ENC for Clear Calls|Ultra Low 50ms Latency Gaming Mode|NitroFast Charge
" Playback- It offers a total playtime of up to 50HRS, including up to 9HRS of playtime per earbud.  
 Clear Voice Calls- Be heard absolutely clear across voice calls wherever you are with the ENx Tech enabled Airdopes 170, that cancels out unwanted background noise during calls.  
 Low Latency- Enjoy a lag less gaming and entertainment experience with BEAST Mode for low latency so that your sessions always stay smooth.  
 Drivers- Delve into the boAt immersive auditory experience on Airdopes 170 TWS earbuds courtesy its 13mm audio drivers.  
 ASAP Charge- Courtesy our ASAP Charge tech, the earbuds can garner up to 180 minutes of playtime in just 10 minutes of charging.  
 Bluetooth- The Bluetooth v5.3 wireless technology in the earbuds supports a seamless listening experience every time.  
 Instant Connection- The IWP tech makes it easier to power on the earbuds which occurs as soon as you open the case lid (earbuds being placed inside the case)  ",https://m.media-amazon.com/images/I/41htugKWXCL._SY300_SX300_.jpg,"₹1,499","boAt Airdopes 170 TWS Earbuds with 50H Playtime, Quad Mics ENx™ Tech, Low Latency Mode, 13mm Drivers, ASAP™ Charge, IPX4, IWP™, Touch Controls & BT v5.3(Classic Black)"
" Ergonomic & lightweight wireless neckband with in-line mic for handsfree phone call | In-Ear design reduces external noises for an immersive sound experience  
 Dynamic 13mm drivers for immersive stereo sound experience | 18 hours music playtime on a single full charge  
 Bluetooth 5.2 for seamless 10mtrs wireless connectivity, quick pairing, dual-device pairing & Wide compatibility | Instant access to voice assistant support  
 Easy 3-button in-line remote control to manage music & calls | Type-C charging port DC5V/1A max. | IPX4 water and sweat resistance  
 6 months manufacturer warranty from the date of purchase on manufacturing defects only  
 Caution: Using incompatible USB cable or high voltage chargers can damage the product & void the product warranty. We strongly recommend using DC5V-1A chargers & the USB cable included in the package.  ",https://m.media-amazon.com/images/I/31y0q555NKL._SY300_SX300_.jpg,₹386,"Zimo AeroFlex Bluetooth 5.2 Wireless in-Ear Headphones, 18Hrs Playtime, Deep Bass, HD Calls, Dual Device Pairing, Voice Assist, Type-C Fast Charge Wireless Neckband, IPX4 Water Resistant (Green/Black)"
" Long Battery Life - Curve is a powerhouse,Offers playback time of up to 12-15 hours for every charge. Takes 1-1.5 to get fully charged and it has 1-2 days of standby. Bluetooth Version v5.0.Note : If the size of the earbud tips does not match the size of your ear canals or the headset is not worn properly in your ears, you may not obtain the correct sound qualities or call performance. Change the earbud tips to ones that fit more snugly in your ears  
 Off-Axis magnetic technology - Oval-shaped earbud with nozzle angled at 60 degree tunnels the sound directly into the ear canal, also providing noise isolation.Inline Control  
 Durable Flexi-band- The light yet sturdy, neck band can drape comfortably across the neck with supreme comfort and in-line controls.  
 Noise Isolating Aerospace Grade AL Drivers - Curve comes with Built-in micro-woofers that produce a deep bass, isolating noise in any environment.  
 IPX5 water resistant- earbuds and charging case inner Nano-coating makes it possible to waterproof for 1 meters deep for 30 minutes.Ideal for sweating it out at the gym. Even Wash the earbuds and base  
 Designed with latest Bluetooth 5.0, the wireless earbuds own fast and stable transmission without tangling. Improved high quality mic for both earbuds bring a better call performance  
 Safety Precautions - Please keep this device away from extreme heat, humidity or corrosive environment, Please don't over-charge the neckband as it will decrease the service life of battery, Please use only a good quality phone charger (5V/1A)  ",https://m.media-amazon.com/images/I/31Oq-QmpztL._SY300_SX300_.jpg,₹799,"Boult Audio Probass Curve Bluetooth Wireless in Ear Earphones with Mic with Ipx5 Water Resistant, 12H Battery Life & Extra Bass (Blue)"
" Unbeatable Sound: Klikk Rock On 101 wireless headphones feature powerful 40mm drivers with our Deep Bass technology for HD sound, lets enjoy your favourite songs with high clarity sound. A speaker resistance of 64 Ohm & sensitivity range of 115(+/- 3)dB minimizes any distortion of sound quality. You can also take calls and talk with the help of the Hi-Fi microphone attached, which is also why you are guaranteed an unbelievable audio experience.  
 Super Comfortable: Ultra-soft high quality cushion ear cups and headband rubber cushion for superior comfort during prolonged wear. It is also sweatproof and gym friendly Foldable & Rotatable Compact Design - Foldable easy to carry design, rotatable ear cup and adjustable headband, easy to adjust to fit your head, comfortable wearing for all day.  
 Long Battery Life: Klikk Rock On 101 Bluetooth Headphone comes with 30 Hours of battery life for unstopped wireless music experience  
 Multipoint Connection: Lets your Klikk Rock On 101 Bluetooth headphones connect to two devices at the same time, making it easy to seamlessly switch between devices to listen to music or take phone calls.  
 Voice Assistant: Optimised for Google and the Siri Assistant. Access your voice assistant with a simple power button press for 3 seconds.  ",https://m.media-amazon.com/images/I/31oDPhWLwFL._SY300_SX300_QL70_FMwebp_.jpg,"₹2,199","Klikk Rock On 101 Bluetooth Wireless Over Ear Headphones with Mic, 30 Hours Playback, AUX & SD Card, Voice Assistant Support with Foldable & Rotatable Compact Design (Rose Gold)"
" ✅60H Playtime: With a jaw-dropping 60 hours of playtime, these earbuds redefine what it means to be wireless. Whether you're embarking on a cross-country road trip, tackling a lengthy workday, or simply enjoying a weekend of non-stop entertainment, the Z60 earbuds have you covered.  
 ✅Quad Mic ENC: Elevate your audio experience with the Z60 earbuds equipped with Quad Mic Environmental Noise Cancellation (ENC). Experience the clarity of communication like never before, as these earbuds work tirelessly to filter out background noise and ensure that your voice is heard with exceptional clarity.  
 ✅50ms Low Latency Gaming Mode: For the competitive gamer, every millisecond counts. The Z60 earbuds' low latency ensures that your reactions are lightning-fast, giving you an edge in high-stakes gaming scenarios.  
 ✅13mm Bass Drivers: Audiophiles will appreciate the precision and quality of the Z60's 13mm Bass Drivers. These earbuds are designed to cater to the most discerning listeners, ensuring that bass is both accurate and impactful.  
 ✅Type-C Fast Charging: For those on the move, the Z60 earbuds provide the ultimate solution. Type-C Fast Charging enables you to quickly top up your earbuds, ensuring they're always ready to accompany you on your adventures.  
 ✅Bluetooth 5.3: Experience wireless freedom like never before. Bluetooth 5.3 provides an extended range, ensuring that you can roam further from your connected device without compromising on audio quality, with an uncompromising stable connection.  
 ✅IPX5: The Z60 earbuds are your go-to choice for outdoor activities like hiking, cycling, and running. Their water-resistant design ensures they can handle the elements, leaving you free to focus on your adventure. Don't worry about sweat or sudden weather changes.  ",https://m.media-amazon.com/images/I/41CcucpIplL._SY300_SX300_.jpg,"₹1,299","Boult Audio Z60 Truly Wireless in Ear Earbuds with 60H Playtime, 4 Mics ENC Clear Calling, 50ms Low Latency Gaming, 13mm Bass Driver, Type-C Fast Charging, IPX5 ear buds TWS Bluetooth 5.3(Powder Blue)"
" Gigantic 60 + Hours of music playtime on a single charge; BT5.2 Wireless headphones with ENC (Environmental Noise Cancellation) Technology to enhance your voice quality over the voice calls  
 10mm Dynamic Speakers produce Powerful Stereo Sound & Punchy Bass; Enjoy Low Latency Mobile Gaming; Type-C Port helps in Fast Charge; Built-in High-Performance Mic for Enhanced Call Quality  
 Strong & Stable 10mtrs Wireless Connectivity; Ergonomic, Lightweight & Flexible neckband; In-Ear Snug-Fit; Passive Noise Cancellation Design; Magnetic Earbuds; IPX4; Easy Access to Voice Assistant  
 Skin-friendly Material; In-Line Remote Control to Manage Music & Phone Calls Seamlessly; Large 300mAh Rechargeable Battery; Mini Type-C Charging Cable & Extra Eartips Included; DC5V/1A Charging Input  
 Durable wireless neckband with a 1-year manufacturer warranty from the date of purchase on manufacturing defects only  
 Caution: Using incompatible USB cable or high voltage chargers can damage the product & void the product warranty. We strongly recommend using DC5V-1A chargers & the USB cable included in the package.  ",https://m.media-amazon.com/images/I/31EPKXH8BkL._SX300_SY300_QL70_FMwebp_.jpg,₹799,"PTron Tangent Sports, 60Hrs Playtime, ENC BT5.2 Headphones, AptSense 40ms Low Latency Gaming, Deep Bass, Dual Pairing, in-Ear Wireless Earphone, HD Mic, Type-C Fast Charging & Voice Assist (Blue)"
" This Renewed product is tested to work and look like new with minimal to no signs of wear & tear; the product comes with relevant accessories and is backed by a minimum six month seller warranty; box may be generic  
 Crystal-clear calls: HD mic & TruTalk AI-ENC technology that aims to improve call quality by automatic background noise reduction on voice calls | 13mm Dynamic Drivers deliver Immersive Stereo Sound.  
 Lag-free Connection: Advanced Bluetooth v5.3 with 1-Step Pairing, 10 meters Strong Wireless Connectivity & Dual-Device Pairing. 50ms low-latency modes for seamless movie and music streaming.  
 All-day Entertainment: Massive 45-hour Battery Life lets you listen Non-stop | Lightweight wireless neckband with Flexible band, Multifunction Music/Call controls, & Instant Access to Voice Assistant  
 Ergonomic In-ear Magnetic Earbuds Minimises External Noises for an Uninterrupted Listening session | Type-C Fast Charging Port DC5V-1A | IPX5 Water & Sweat Resistance  ",https://m.media-amazon.com/images/I/31iZsBB5B4L._SX300_SY300_QL70_FMwebp_.jpg,NoneNone,"(Refurbished) pTron Newly Launched Tangent Eon in-Ear Bluetooth 5.3 Wireless Headphones, 45H Playtime, HD Mic & TruTalk AI-ENC Calls, Movie/Music Modes, Dual Device Pairing & Type-C Fast Charging & IPX5 (Black)"
" Maximum audio resolution with Sennheiser Signature Sound: Enjoy premium music quality all-day long thanks to the headphone's audiophile-inspired 42mm transducer system and aptX Adaptive.  
 Personalized sound via the Sennheiser Smart Control App: Adjust the sound to your individual listening preferences via the integrated equalizer, presets and sound modes - for a unique sound experience.  
 Stay immersed in your music: Thanks to the headphone's Adaptive Noise Cancellation, you stay distraction-free - and with the Adjustable Transparency Mode you stay in touch with the world around you.  
 Exceptional comfort and long battery life: Lightweight, foldable design with padded headband and deeply cushioned ear pads for long-lasting comfort - up to 60 hours of playback time with fast charging.  
 Crystal-clear calls: The four digital beamforming microphones ensure high-quality voice pick-up and automatically suppress wind noise for optimized calls and easier access to the voice assistant.  ",https://m.media-amazon.com/images/I/31XYpoJOAIL._SY300_SX300_.jpg,"₹27,990","Sennheiser Momentum 4 Wireless Headphones – Designed in Germany - Bluetooth Adaptive Noise Cancelling-ANC & customizable sound, 4 digital Mics for crystal-clear calls,60h Battery, 2 Yr WARRANTY, White"
" 12.4mm Dynamic Bass Driver;30dB Active Noise Cancellation  
 360° Spatial Audio Effect;Upto 40 Hours Total Playback with Fast-charging support of 10 min charging for 7 hours playback  
 50ms Ultra-low Latency; Supports Dolby Atmos  
 IP55 Dust and Water Resistance | Bluetooth 5.3 | realme Link App Connectivity (only for Android)  
 Control Type: Voice Control; Model: Rma2302  ",https://m.media-amazon.com/images/I/31uQjRuF5LL._SX300_SY300_QL70_ML2_.jpg,"₹1,999","realme Buds T300 TWS Earbuds with 40H Play time,30dB ANC, 360° Spatial Audio with Dolby Atmos, 12.4 mm Dynamic Bass Boost Driver, IP55 Water & Dust Resistant, BT v5.3 (Stylish Black)"
" Playback- The wireless neckband offers a total playtime of up to 60 hours on a single charge via Type C interface at 60% volume.  
 EQ Modes- It’s time to up the game and switch to Rockerz 255 Max wireless neckband that comes equipped with three EQ modes; Signature, Balanced and Pop to suit different genres of playback.  
 Power- The magnetic earbuds help the neckband to power on/off seamlessly; simply separate them to turn on the device while unite them to turn it off.  
 Clear Voice Calls- Our ENx technology lets you be heard crystal clear over voice calls regardless of whether you’re indoors or outdoors.  
 Low Latency- With our low latency BEAST Mode, this neckband delivers a matchless experience whether you are enjoying your gaming or binge-watch sessions.  
 ASAP Charge - Courtesy our ASAP Charge tech, the device can fetch a total playtime of up to 10 hours in just 10 min of charging.  
 Textured Finish- This neckband offers the best of style and comfort with textured finish and ergonomic industrial design.  
 Connectivity- The device offers a top-notch connectivity every time with its BT v5.3 and it also comes with boAt Fast Pair.  ",https://m.media-amazon.com/images/I/31SCTab8MjL._SX300_SY300_QL70_FMwebp_.jpg,"₹1,099","boAt Rockerz 255 Max in Ear Earphones with 60H Playtime,Eq Modes,Power Magnetic Earbuds,Beast Mode,Enx Tech,ASAP Charge(10 Mins=10 Hrs),Textured Finish,Dual Pair(Maverick Maroon),Wireless"
" TEMPT Dots True Wireless Earbuds with 13mm Drivers, 15 Hours of Play Time and 100 Hours of Standby Time | Siri and Google Assistance, IPX5 Water & Sweat Resistant  ",https://m.media-amazon.com/images/I/31cMjuhWZnL._SX300_SY300_QL70_FMwebp_.jpg,₹799,"TEMPT® Dots True Wireless Earbuds with 13mm Drivers, 15 Hours of Play Time and 100 Hours of Standby Time | Siri and Google Assistance, IPX5 Water & Sweat Resistant (Peach)"
" Bass Boost: Feel the deep, resonating beats with our bass boost feature, adding richness and depth to your favorite tracks and gaming sessions.  
 Hi-fi Audio: Indulge in crystal-clear, high-fidelity audio that brings out every detail, ensuring an immersive listening experience that elevates your music and gaming.  
 Balanced Sound: Enjoy a harmonious blend of treble, midrange, and bass frequencies for a well-rounded sound signature that caters to all music genres and multimedia.  
 1.2 Meter Cable: With a generous 1.2-meter cable length, you get the freedom to move around without feeling restricted, perfect for gaming or listening on-the-go.  
 Built-in Microphone: Stay connected with hands-free calls thanks to the built-in microphone, ensuring clear and crisp voice quality for all your conversations.  
 In-line Controls: Easily manage your music and calls with intuitive in-line controls, giving you quick access to volume, play/pause, and call functions without reaching for your device.  
 Non-removable (Fixed) Earbuds: Designed for durability and a secure fit, the non-removable earbuds ensure they stay in place during all your activities without the risk of falling out.  ",https://m.media-amazon.com/images/I/21F3BDT6AmL._SY300_SX300_.jpg,₹399,"Vatural™ in-Ear Wired Headphones | 3.5mm Audio Jack | Bass Boost | Balanced Audio | Clear Sound for Games, Movies, Music, Calls | Supports Multiple Devices (Black)"
" ✅30 hours of total playtime: Mammoth battery power makes the Rcharge Neckband stop at nothing.  
 ✅10 mins charge = 12Hrs playtime. Lightning Boult Type-C fast charging makes this possible, getting your neckband ready in no time.  
 ✅Zen Mode: The Environmental Noise Cancellation mode wards off unwanted noise, making your calls crystal clear.  
 ✅50ms Low latency gaming mode: Have an uninterrupted gaming experience with no lags  
 ✅10mm BoomX tech drivers deliver deep, dynamic bass that adds the much-needed thrill to your entertainment.  
 ✅Sweat Resistant: The Boult RCharge wireless earphones feature IPX5 water resistance, ensuring protection from splashes and spills, making them your perfect companion for workouts, outdoor adventures, and daily commutes.  
 ✅Dual Pairing: Enjoy the convenience of working and gaming while on the move. Through the use of Dual Pairing, you can connect many devices all at once and work seamlessly.  ",https://m.media-amazon.com/images/I/419hDRpcr5L._SX300_SY300_QL70_FMwebp_.jpg,₹799,"Boult Audio RCharge Wireless in Ear Bluetooth Earphones with ENC Mic, 30H Playtime, 50ms Low Latency Gaming Mode, Dual Pairing, Type-C Fast Charging (10Min=12Hrs), 10mm Bass Drivers Neckband (Blue)"
